"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","warborn.model","jUnitTest/warborn/model/CardDeckTest.java","4","3","Avoid unused imports such as 'org.junit.Assert'","Type Resolution Rules","UnusedImports"
"2","warborn.model","jUnitTest/warborn/model/CardDeckTest.java","5","14","Found 'DU'-anomaly for variable 'deck' (lines '14'-'33').","Controversial Rules","DataflowAnomalyAnalysis"
"3","warborn.model","jUnitTest/warborn/model/CardDeckTest.java","3","14","Local variable 'deck' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"4","warborn.model","jUnitTest/warborn/model/CardDeckTest.java","3","18","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"5","warborn.model","jUnitTest/warborn/model/CardDeckTest.java","3","21","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"6","warborn.model","jUnitTest/warborn/model/CardDeckTest.java","3","24","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"7","warborn.model","jUnitTest/warborn/model/CardDeckTest.java","3","27","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"8","warborn.model","jUnitTest/warborn/model/CardTest.java","4","3","Avoid unused imports such as 'org.junit.Assert'","Type Resolution Rules","UnusedImports"
"9","warborn.model","jUnitTest/warborn/model/CardTest.java","3","11","Local variable 'troop1' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"10","warborn.model","jUnitTest/warborn/model/CardTest.java","3","11","Local variable 'troop2' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"11","warborn.model","jUnitTest/warborn/model/CardTest.java","3","12","Local variable 'img1' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"12","warborn.model","jUnitTest/warborn/model/CardTest.java","3","13","Local variable 'img2' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"13","warborn.model","jUnitTest/warborn/model/CardTest.java","3","14","Local variable 'one' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"14","warborn.model","jUnitTest/warborn/model/CardTest.java","3","17","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"15","warborn.model","jUnitTest/warborn/model/CardTest.java","3","17","Use assertSame(x, y) instead of assertTrue(x==y), or assertNotSame(x,y) vs assertFalse(x==y)","JUnit Rules","UseAssertSameInsteadOfAssertTrue"
"16","warborn.model","jUnitTest/warborn/model/CardTest.java","3","18","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"17","warborn.model","jUnitTest/warborn/model/CardTest.java","3","18","Use assertSame(x, y) instead of assertTrue(x==y), or assertNotSame(x,y) vs assertFalse(x==y)","JUnit Rules","UseAssertSameInsteadOfAssertTrue"
"18","warborn.model","jUnitTest/warborn/model/CardTest.java","3","19","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"19","warborn.model","jUnitTest/warborn/model/CardTest.java","3","19","Use assertSame(x, y) instead of assertTrue(x==y), or assertNotSame(x,y) vs assertFalse(x==y)","JUnit Rules","UseAssertSameInsteadOfAssertTrue"
"20","warborn.model","jUnitTest/warborn/model/CardTest.java","3","20","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"21","warborn.model","jUnitTest/warborn/model/CardTest.java","3","20","Use assertSame(x, y) instead of assertTrue(x==y), or assertNotSame(x,y) vs assertFalse(x==y)","JUnit Rules","UseAssertSameInsteadOfAssertTrue"
"22","warborn.model","jUnitTest/warborn/model/CardTest.java","3","21","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"23","warborn.model","jUnitTest/warborn/model/CardTest.java","3","21","Use assertSame(x, y) instead of assertTrue(x==y), or assertNotSame(x,y) vs assertFalse(x==y)","JUnit Rules","UseAssertSameInsteadOfAssertTrue"
